round,player1,player2,answer1,answer2,points1,points2,total1,total2,psbr_strategy_p1,psbr_strategy_p2,psbr_value_j_p1,psbr_value_f_p1,psbr_value_j_p2,psbr_value_f_p2,psbr_samples,psbr_horizon,psbr_discount,psbr_sample_temperature,psbr_strategy_inference
1,openai/gpt-oss-20b,openai/gpt-oss-20b,J,J,10,7,10,7,insist_j,alternate_phase0,182.0,96.4,170.0,100.0,5,20,1.0,0.8,llm-label
2,openai/gpt-oss-20b,openai/gpt-oss-20b,J,J,10,7,20,14,follow_last_opp,follow_last_opp,200.0,100.0,140.0,70.0,5,20,1.0,0.8,llm-label
3,openai/gpt-oss-20b,openai/gpt-oss-20b,J,J,10,7,30,21,follow_last_opp,follow_last_opp,200.0,100.0,140.0,70.0,5,20,1.0,0.8,llm-label
4,openai/gpt-oss-20b,openai/gpt-oss-20b,J,J,10,7,40,28,follow_last_opp,follow_last_opp,200.0,100.0,140.0,70.0,5,20,1.0,0.8,llm-label
5,openai/gpt-oss-20b,openai/gpt-oss-20b,J,J,10,7,50,35,follow_last_opp,follow_last_opp,200.0,100.0,140.0,70.0,5,20,1.0,0.8,llm-label
6,openai/gpt-oss-20b,openai/gpt-oss-20b,J,J,10,7,60,42,follow_last_opp,follow_last_opp,200.0,100.0,140.0,70.0,5,20,1.0,0.8,llm-label
7,openai/gpt-oss-20b,openai/gpt-oss-20b,J,J,10,7,70,49,follow_last_opp,follow_last_opp,200.0,100.0,140.0,70.0,5,20,1.0,0.8,llm-label
8,openai/gpt-oss-20b,openai/gpt-oss-20b,J,J,10,7,80,56,follow_last_opp,follow_last_opp,200.0,100.0,140.0,70.0,5,20,1.0,0.8,llm-label
9,openai/gpt-oss-20b,openai/gpt-oss-20b,J,J,10,7,90,63,follow_last_opp,follow_last_opp,200.0,100.0,140.0,70.0,5,20,1.0,0.8,llm-label
10,openai/gpt-oss-20b,openai/gpt-oss-20b,J,J,10,7,100,70,follow_last_opp,follow_last_opp,200.0,100.0,140.0,70.0,5,20,1.0,0.8,llm-label
11,openai/gpt-oss-20b,openai/gpt-oss-20b,J,J,10,7,110,77,follow_last_opp,follow_last_opp,200.0,100.0,140.0,70.0,5,20,1.0,0.8,llm-label
12,openai/gpt-oss-20b,openai/gpt-oss-20b,J,J,10,7,120,84,follow_last_opp,follow_last_opp,200.0,100.0,140.0,70.0,5,20,1.0,0.8,llm-label
13,openai/gpt-oss-20b,openai/gpt-oss-20b,J,J,10,7,130,91,follow_last_opp,follow_last_opp,200.0,100.0,140.0,70.0,5,20,1.0,0.8,llm-label
14,openai/gpt-oss-20b,openai/gpt-oss-20b,J,J,10,7,140,98,follow_last_opp,follow_last_opp,200.0,100.0,140.0,70.0,5,20,1.0,0.8,llm-label
15,openai/gpt-oss-20b,openai/gpt-oss-20b,J,J,10,7,150,105,follow_last_opp,follow_last_opp,200.0,100.0,140.0,70.0,5,20,1.0,0.8,llm-label
16,openai/gpt-oss-20b,openai/gpt-oss-20b,J,J,10,7,160,112,follow_last_opp,follow_last_opp,200.0,100.0,140.0,70.0,5,20,1.0,0.8,llm-label
17,openai/gpt-oss-20b,openai/gpt-oss-20b,J,J,10,7,170,119,follow_last_opp,follow_last_opp,200.0,100.0,140.0,70.0,5,20,1.0,0.8,llm-label
18,openai/gpt-oss-20b,openai/gpt-oss-20b,J,J,10,7,180,126,follow_last_opp,follow_last_opp,200.0,100.0,140.0,70.0,5,20,1.0,0.8,llm-label
19,openai/gpt-oss-20b,openai/gpt-oss-20b,J,J,10,7,190,133,follow_last_opp,follow_last_opp,200.0,100.0,140.0,70.0,5,20,1.0,0.8,llm-label
20,openai/gpt-oss-20b,openai/gpt-oss-20b,J,J,10,7,200,140,follow_last_opp,follow_last_opp,200.0,100.0,140.0,70.0,5,20,1.0,0.8,llm-label
21,openai/gpt-oss-20b,openai/gpt-oss-20b,J,J,10,7,210,147,follow_last_opp,follow_last_opp,200.0,100.0,140.0,70.0,5,20,1.0,0.8,llm-label
22,openai/gpt-oss-20b,openai/gpt-oss-20b,J,J,10,7,220,154,follow_last_opp,follow_last_opp,200.0,100.0,140.0,70.0,5,20,1.0,0.8,llm-label
23,openai/gpt-oss-20b,openai/gpt-oss-20b,J,J,10,7,230,161,follow_last_opp,follow_last_opp,200.0,100.0,140.0,70.0,5,20,1.0,0.8,llm-label
24,openai/gpt-oss-20b,openai/gpt-oss-20b,J,J,10,7,240,168,follow_last_opp,follow_last_opp,200.0,100.0,140.0,70.0,5,20,1.0,0.8,llm-label
25,openai/gpt-oss-20b,openai/gpt-oss-20b,J,J,10,7,250,175,follow_last_opp,follow_last_opp,200.0,100.0,140.0,70.0,5,20,1.0,0.8,llm-label
26,openai/gpt-oss-20b,openai/gpt-oss-20b,J,J,10,7,260,182,follow_last_opp,follow_last_opp,200.0,100.0,140.0,70.0,5,20,1.0,0.8,llm-label
27,openai/gpt-oss-20b,openai/gpt-oss-20b,J,J,10,7,270,189,follow_last_opp,follow_last_opp,200.0,100.0,140.0,70.0,5,20,1.0,0.8,llm-label
28,openai/gpt-oss-20b,openai/gpt-oss-20b,J,J,10,7,280,196,follow_last_opp,follow_last_opp,200.0,100.0,140.0,70.0,5,20,1.0,0.8,llm-label
29,openai/gpt-oss-20b,openai/gpt-oss-20b,J,J,10,7,290,203,follow_last_opp,follow_last_opp,200.0,100.0,140.0,70.0,5,20,1.0,0.8,llm-label
30,openai/gpt-oss-20b,openai/gpt-oss-20b,J,J,10,7,300,210,follow_last_opp,follow_last_opp,200.0,100.0,140.0,70.0,5,20,1.0,0.8,llm-label
31,openai/gpt-oss-20b,openai/gpt-oss-20b,J,J,10,7,310,217,follow_last_opp,follow_last_opp,200.0,100.0,140.0,70.0,5,20,1.0,0.8,llm-label
32,openai/gpt-oss-20b,openai/gpt-oss-20b,J,J,10,7,320,224,follow_last_opp,follow_last_opp,200.0,100.0,140.0,70.0,5,20,1.0,0.8,llm-label
33,openai/gpt-oss-20b,openai/gpt-oss-20b,J,J,10,7,330,231,follow_last_opp,follow_last_opp,200.0,100.0,140.0,70.0,5,20,1.0,0.8,llm-label
