round,player1,player2,prediction1,prediction2,answer1,answer2,points1,points2,total1,total2
1,openai/gpt-oss-20b,openai/gpt-oss-20b,F,F,J,F,0,0,0,0
2,openai/gpt-oss-20b,openai/gpt-oss-20b,J,J,J,F,0,0,0,0
3,openai/gpt-oss-20b,openai/gpt-oss-20b,J,J,J,F,0,0,0,0
4,openai/gpt-oss-20b,openai/gpt-oss-20b,J,J,J,F,0,0,0,0
5,openai/gpt-oss-20b,openai/gpt-oss-20b,F,J,J,F,0,0,0,0
6,openai/gpt-oss-20b,openai/gpt-oss-20b,F,F,F,F,7,10,7,10
7,openai/gpt-oss-20b,openai/gpt-oss-20b,F,J,F,F,7,10,14,20
8,openai/gpt-oss-20b,openai/gpt-oss-20b,F,J,F,F,7,10,21,30
9,openai/gpt-oss-20b,openai/gpt-oss-20b,F,F,F,F,7,10,28,40
10,openai/gpt-oss-20b,openai/gpt-oss-20b,F,J,F,F,7,10,35,50
11,openai/gpt-oss-20b,openai/gpt-oss-20b,F,J,F,F,7,10,42,60
12,openai/gpt-oss-20b,openai/gpt-oss-20b,J,J,F,F,7,10,49,70
13,openai/gpt-oss-20b,openai/gpt-oss-20b,F,J,F,F,7,10,56,80
14,openai/gpt-oss-20b,openai/gpt-oss-20b,F,J,F,F,7,10,63,90
15,openai/gpt-oss-20b,openai/gpt-oss-20b,F,J,F,F,7,10,70,100
16,openai/gpt-oss-20b,openai/gpt-oss-20b,F,F,F,F,7,10,77,110
17,openai/gpt-oss-20b,openai/gpt-oss-20b,F,J,F,F,7,10,84,120
18,openai/gpt-oss-20b,openai/gpt-oss-20b,F,J,F,F,7,10,91,130
19,openai/gpt-oss-20b,openai/gpt-oss-20b,F,J,F,F,7,10,98,140
20,openai/gpt-oss-20b,openai/gpt-oss-20b,F,J,F,F,7,10,105,150
21,openai/gpt-oss-20b,openai/gpt-oss-20b,F,J,F,F,7,10,112,160
22,openai/gpt-oss-20b,openai/gpt-oss-20b,F,J,F,F,7,10,119,170
23,openai/gpt-oss-20b,openai/gpt-oss-20b,F,J,F,F,7,10,126,180
24,openai/gpt-oss-20b,openai/gpt-oss-20b,F,J,F,F,7,10,133,190
25,openai/gpt-oss-20b,openai/gpt-oss-20b,F,F,F,F,7,10,140,200
26,openai/gpt-oss-20b,openai/gpt-oss-20b,F,J,F,F,7,10,147,210
27,openai/gpt-oss-20b,openai/gpt-oss-20b,F,J,F,F,7,10,154,220
28,openai/gpt-oss-20b,openai/gpt-oss-20b,F,J,F,F,7,10,161,230
29,openai/gpt-oss-20b,openai/gpt-oss-20b,F,J,F,F,7,10,168,240
30,openai/gpt-oss-20b,openai/gpt-oss-20b,F,F,F,F,7,10,175,250
31,openai/gpt-oss-20b,openai/gpt-oss-20b,F,J,F,F,7,10,182,260
32,openai/gpt-oss-20b,openai/gpt-oss-20b,F,F,F,F,7,10,189,270
33,openai/gpt-oss-20b,openai/gpt-oss-20b,F,J,F,F,7,10,196,280
34,openai/gpt-oss-20b,openai/gpt-oss-20b,F,J,F,F,7,10,203,290
35,openai/gpt-oss-20b,openai/gpt-oss-20b,F,F,F,F,7,10,210,300
36,openai/gpt-oss-20b,openai/gpt-oss-20b,F,F,F,F,7,10,217,310
37,openai/gpt-oss-20b,openai/gpt-oss-20b,F,F,F,F,7,10,224,320
38,openai/gpt-oss-20b,openai/gpt-oss-20b,F,J,F,F,7,10,231,330
39,openai/gpt-oss-20b,openai/gpt-oss-20b,F,J,F,F,7,10,238,340
40,openai/gpt-oss-20b,openai/gpt-oss-20b,F,J,F,F,7,10,245,350
41,openai/gpt-oss-20b,openai/gpt-oss-20b,F,F,F,F,7,10,252,360
42,openai/gpt-oss-20b,openai/gpt-oss-20b,F,J,F,F,7,10,259,370
43,openai/gpt-oss-20b,openai/gpt-oss-20b,F,F,F,F,7,10,266,380
44,openai/gpt-oss-20b,openai/gpt-oss-20b,F,J,F,F,7,10,273,390
45,openai/gpt-oss-20b,openai/gpt-oss-20b,F,F,F,F,7,10,280,400
46,openai/gpt-oss-20b,openai/gpt-oss-20b,F,F,F,F,7,10,287,410
47,openai/gpt-oss-20b,openai/gpt-oss-20b,F,F,F,F,7,10,294,420
48,openai/gpt-oss-20b,openai/gpt-oss-20b,F,F,F,F,7,10,301,430
49,openai/gpt-oss-20b,openai/gpt-oss-20b,F,F,F,F,7,10,308,440
50,openai/gpt-oss-20b,openai/gpt-oss-20b,F,F,F,F,7,10,315,450
