round,player1,player2,prediction1,prediction2,answer1,answer2,points1,points2,total1,total2,low,high,bonus
1,openai/gpt-oss-20b,openai/gpt-oss-20b,50,50,52,52,52,52,52,52,2,100,2
2,openai/gpt-oss-20b,openai/gpt-oss-20b,52,52,52,52,52,52,104,104,2,100,2
3,openai/gpt-oss-20b,openai/gpt-oss-20b,52,52,52,52,52,52,156,156,2,100,2
4,openai/gpt-oss-20b,openai/gpt-oss-20b,52,52,52,52,52,52,208,208,2,100,2
5,openai/gpt-oss-20b,openai/gpt-oss-20b,52,52,52,52,52,52,260,260,2,100,2
6,openai/gpt-oss-20b,openai/gpt-oss-20b,52,52,52,52,52,52,312,312,2,100,2
7,openai/gpt-oss-20b,openai/gpt-oss-20b,52,52,52,52,52,52,364,364,2,100,2
8,openai/gpt-oss-20b,openai/gpt-oss-20b,52,52,52,52,52,52,416,416,2,100,2
9,openai/gpt-oss-20b,openai/gpt-oss-20b,52,52,52,52,52,52,468,468,2,100,2
10,openai/gpt-oss-20b,openai/gpt-oss-20b,52,52,52,52,52,52,520,520,2,100,2
11,openai/gpt-oss-20b,openai/gpt-oss-20b,52,52,52,52,52,52,572,572,2,100,2
12,openai/gpt-oss-20b,openai/gpt-oss-20b,52,52,52,52,52,52,624,624,2,100,2
13,openai/gpt-oss-20b,openai/gpt-oss-20b,52,52,52,52,52,52,676,676,2,100,2
14,openai/gpt-oss-20b,openai/gpt-oss-20b,52,52,52,52,52,52,728,728,2,100,2
15,openai/gpt-oss-20b,openai/gpt-oss-20b,52,52,52,52,52,52,780,780,2,100,2
16,openai/gpt-oss-20b,openai/gpt-oss-20b,52,52,52,52,52,52,832,832,2,100,2
17,openai/gpt-oss-20b,openai/gpt-oss-20b,52,52,52,52,52,52,884,884,2,100,2
18,openai/gpt-oss-20b,openai/gpt-oss-20b,52,52,52,52,52,52,936,936,2,100,2
19,openai/gpt-oss-20b,openai/gpt-oss-20b,52,52,52,52,52,52,988,988,2,100,2
20,openai/gpt-oss-20b,openai/gpt-oss-20b,52,52,52,52,52,52,1040,1040,2,100,2
21,openai/gpt-oss-20b,openai/gpt-oss-20b,52,52,52,52,52,52,1092,1092,2,100,2
22,openai/gpt-oss-20b,openai/gpt-oss-20b,52,52,52,52,52,52,1144,1144,2,100,2
23,openai/gpt-oss-20b,openai/gpt-oss-20b,52,52,52,52,52,52,1196,1196,2,100,2
24,openai/gpt-oss-20b,openai/gpt-oss-20b,52,52,52,52,52,52,1248,1248,2,100,2
25,openai/gpt-oss-20b,openai/gpt-oss-20b,52,52,52,52,52,52,1300,1300,2,100,2
26,openai/gpt-oss-20b,openai/gpt-oss-20b,52,52,52,52,52,52,1352,1352,2,100,2
27,openai/gpt-oss-20b,openai/gpt-oss-20b,52,52,52,52,52,52,1404,1404,2,100,2
28,openai/gpt-oss-20b,openai/gpt-oss-20b,52,52,52,52,52,52,1456,1456,2,100,2
29,openai/gpt-oss-20b,openai/gpt-oss-20b,52,52,52,52,52,52,1508,1508,2,100,2
30,openai/gpt-oss-20b,openai/gpt-oss-20b,52,52,52,52,52,52,1560,1560,2,100,2
31,openai/gpt-oss-20b,openai/gpt-oss-20b,52,52,52,52,52,52,1612,1612,2,100,2
32,openai/gpt-oss-20b,openai/gpt-oss-20b,52,52,52,52,52,52,1664,1664,2,100,2
33,openai/gpt-oss-20b,openai/gpt-oss-20b,52,52,52,52,52,52,1716,1716,2,100,2
34,openai/gpt-oss-20b,openai/gpt-oss-20b,52,52,52,52,52,52,1768,1768,2,100,2
35,openai/gpt-oss-20b,openai/gpt-oss-20b,52,52,52,52,52,52,1820,1820,2,100,2
36,openai/gpt-oss-20b,openai/gpt-oss-20b,52,52,52,52,52,52,1872,1872,2,100,2
37,openai/gpt-oss-20b,openai/gpt-oss-20b,52,52,52,52,52,52,1924,1924,2,100,2
38,openai/gpt-oss-20b,openai/gpt-oss-20b,52,52,52,52,52,52,1976,1976,2,100,2
39,openai/gpt-oss-20b,openai/gpt-oss-20b,52,52,52,52,52,52,2028,2028,2,100,2
40,openai/gpt-oss-20b,openai/gpt-oss-20b,52,52,52,52,52,52,2080,2080,2,100,2
41,openai/gpt-oss-20b,openai/gpt-oss-20b,52,52,52,52,52,52,2132,2132,2,100,2
42,openai/gpt-oss-20b,openai/gpt-oss-20b,52,52,52,52,52,52,2184,2184,2,100,2
43,openai/gpt-oss-20b,openai/gpt-oss-20b,52,52,52,52,52,52,2236,2236,2,100,2
44,openai/gpt-oss-20b,openai/gpt-oss-20b,52,52,52,52,52,52,2288,2288,2,100,2
45,openai/gpt-oss-20b,openai/gpt-oss-20b,52,52,52,52,52,52,2340,2340,2,100,2
46,openai/gpt-oss-20b,openai/gpt-oss-20b,52,52,52,52,52,52,2392,2392,2,100,2
47,openai/gpt-oss-20b,openai/gpt-oss-20b,52,52,52,52,52,52,2444,2444,2,100,2
48,openai/gpt-oss-20b,openai/gpt-oss-20b,52,52,52,52,52,52,2496,2496,2,100,2
49,openai/gpt-oss-20b,openai/gpt-oss-20b,52,52,52,52,52,52,2548,2548,2,100,2
50,openai/gpt-oss-20b,openai/gpt-oss-20b,52,52,52,52,52,52,2600,2600,2,100,2
