round,player1,player2,prediction1,prediction2,answer1,answer2,points1,points2,total1,total2
1,openai/gpt-oss-20b,openai/gpt-oss-20b,C,C,D,D,2,2,2,2
2,openai/gpt-oss-20b,openai/gpt-oss-20b,C,C,D,D,2,2,4,4
3,openai/gpt-oss-20b,openai/gpt-oss-20b,C,C,D,D,2,2,6,6
4,openai/gpt-oss-20b,openai/gpt-oss-20b,C,C,D,D,2,2,8,8
5,openai/gpt-oss-20b,openai/gpt-oss-20b,C,C,D,D,2,2,10,10
6,openai/gpt-oss-20b,openai/gpt-oss-20b,C,C,D,D,2,2,12,12
7,openai/gpt-oss-20b,openai/gpt-oss-20b,C,C,D,D,2,2,14,14
8,openai/gpt-oss-20b,openai/gpt-oss-20b,C,C,D,D,2,2,16,16
9,openai/gpt-oss-20b,openai/gpt-oss-20b,C,C,D,D,2,2,18,18
10,openai/gpt-oss-20b,openai/gpt-oss-20b,C,C,D,D,2,2,20,20
11,openai/gpt-oss-20b,openai/gpt-oss-20b,C,C,D,D,2,2,22,22
12,openai/gpt-oss-20b,openai/gpt-oss-20b,C,C,D,D,2,2,24,24
13,openai/gpt-oss-20b,openai/gpt-oss-20b,C,C,D,D,2,2,26,26
14,openai/gpt-oss-20b,openai/gpt-oss-20b,C,C,D,D,2,2,28,28
15,openai/gpt-oss-20b,openai/gpt-oss-20b,C,C,D,D,2,2,30,30
16,openai/gpt-oss-20b,openai/gpt-oss-20b,C,C,D,D,2,2,32,32
17,openai/gpt-oss-20b,openai/gpt-oss-20b,C,C,D,D,2,2,34,34
18,openai/gpt-oss-20b,openai/gpt-oss-20b,C,C,D,D,2,2,36,36
19,openai/gpt-oss-20b,openai/gpt-oss-20b,C,C,D,D,2,2,38,38
20,openai/gpt-oss-20b,openai/gpt-oss-20b,C,C,D,D,2,2,40,40
21,openai/gpt-oss-20b,openai/gpt-oss-20b,C,C,D,D,2,2,42,42
22,openai/gpt-oss-20b,openai/gpt-oss-20b,C,C,D,D,2,2,44,44
23,openai/gpt-oss-20b,openai/gpt-oss-20b,C,C,D,D,2,2,46,46
24,openai/gpt-oss-20b,openai/gpt-oss-20b,C,C,D,D,2,2,48,48
25,openai/gpt-oss-20b,openai/gpt-oss-20b,D,D,D,D,2,2,50,50
26,openai/gpt-oss-20b,openai/gpt-oss-20b,C,C,D,D,2,2,52,52
27,openai/gpt-oss-20b,openai/gpt-oss-20b,C,C,D,D,2,2,54,54
28,openai/gpt-oss-20b,openai/gpt-oss-20b,C,C,D,D,2,2,56,56
29,openai/gpt-oss-20b,openai/gpt-oss-20b,C,C,D,D,2,2,58,58
30,openai/gpt-oss-20b,openai/gpt-oss-20b,C,C,D,D,2,2,60,60
31,openai/gpt-oss-20b,openai/gpt-oss-20b,C,C,D,D,2,2,62,62
32,openai/gpt-oss-20b,openai/gpt-oss-20b,D,D,D,D,2,2,64,64
33,openai/gpt-oss-20b,openai/gpt-oss-20b,C,C,D,D,2,2,66,66
34,openai/gpt-oss-20b,openai/gpt-oss-20b,C,C,D,D,2,2,68,68
35,openai/gpt-oss-20b,openai/gpt-oss-20b,C,C,D,D,2,2,70,70
36,openai/gpt-oss-20b,openai/gpt-oss-20b,D,D,D,D,2,2,72,72
37,openai/gpt-oss-20b,openai/gpt-oss-20b,C,C,D,D,2,2,74,74
38,openai/gpt-oss-20b,openai/gpt-oss-20b,C,C,D,D,2,2,76,76
39,openai/gpt-oss-20b,openai/gpt-oss-20b,C,C,D,D,2,2,78,78
40,openai/gpt-oss-20b,openai/gpt-oss-20b,C,C,D,D,2,2,80,80
41,openai/gpt-oss-20b,openai/gpt-oss-20b,C,C,D,D,2,2,82,82
42,openai/gpt-oss-20b,openai/gpt-oss-20b,C,C,D,D,2,2,84,84
43,openai/gpt-oss-20b,openai/gpt-oss-20b,C,C,D,D,2,2,86,86
44,openai/gpt-oss-20b,openai/gpt-oss-20b,C,C,D,D,2,2,88,88
45,openai/gpt-oss-20b,openai/gpt-oss-20b,D,D,D,D,2,2,90,90
46,openai/gpt-oss-20b,openai/gpt-oss-20b,C,C,D,D,2,2,92,92
47,openai/gpt-oss-20b,openai/gpt-oss-20b,C,C,D,D,2,2,94,94
48,openai/gpt-oss-20b,openai/gpt-oss-20b,C,C,D,D,2,2,96,96
49,openai/gpt-oss-20b,openai/gpt-oss-20b,C,C,D,D,2,2,98,98
50,openai/gpt-oss-20b,openai/gpt-oss-20b,C,C,D,D,2,2,100,100
