round,player1,player2,answer1,answer2,points1,points2,total1,total2,option1,option2,psbr_strategy_p1,psbr_strategy_p2,psbr_value_j_p1,psbr_value_f_p1,psbr_value_j_p2,psbr_value_f_p2,psbr_samples,psbr_horizon,psbr_discount,psbr_sample_temperature,psbr_strategy_inference
1,openai/gpt-oss-20b,openai/gpt-oss-20b,J,J,8,8,8,8,0,1,allc,allc,160.0,152.4,152.0,100.0,5,20,1.0,0.8,llm-label
2,openai/gpt-oss-20b,openai/gpt-oss-20b,F,F,5,5,13,13,1,0,alld,alld,160.0,200.0,160.0,200.0,5,20,1.0,0.8,llm-label
3,openai/gpt-oss-20b,openai/gpt-oss-20b,J,J,8,8,21,21,0,1,allc,allc,152.0,124.8,152.0,140.6,5,20,1.0,0.8,llm-label
4,openai/gpt-oss-20b,openai/gpt-oss-20b,J,J,8,8,29,29,0,1,allc,allc,160.0,105.0,160.0,105.0,5,20,1.0,0.8,llm-label
5,openai/gpt-oss-20b,openai/gpt-oss-20b,J,J,8,8,37,37,0,1,allc,allc,160.0,105.0,160.0,105.0,5,20,1.0,0.8,llm-label
6,openai/gpt-oss-20b,openai/gpt-oss-20b,F,J,10,0,47,37,1,0,alld,allc,160.0,200.0,160.0,105.0,5,20,1.0,0.8,llm-label
7,openai/gpt-oss-20b,openai/gpt-oss-20b,J,J,8,8,55,45,0,1,allc,allc,152.0,100.0,160.0,122.8,5,20,1.0,0.8,llm-label
8,openai/gpt-oss-20b,openai/gpt-oss-20b,J,J,8,8,63,53,1,0,allc,allc,160.0,105.0,160.0,105.0,5,20,1.0,0.8,llm-label
9,openai/gpt-oss-20b,openai/gpt-oss-20b,J,J,8,8,71,61,1,0,allc,allc,160.0,105.0,160.0,105.0,5,20,1.0,0.8,llm-label
10,openai/gpt-oss-20b,openai/gpt-oss-20b,J,J,8,8,79,69,0,1,allc,allc,160.0,105.0,160.0,105.0,5,20,1.0,0.8,llm-label
11,openai/gpt-oss-20b,openai/gpt-oss-20b,J,J,8,8,87,77,0,1,allc,allc,160.0,105.0,160.0,105.0,5,20,1.0,0.8,llm-label
12,openai/gpt-oss-20b,openai/gpt-oss-20b,J,J,8,8,95,85,1,0,allc,allc,160.0,105.0,160.0,105.0,5,20,1.0,0.8,llm-label
13,openai/gpt-oss-20b,openai/gpt-oss-20b,J,J,8,8,103,93,1,0,allc,allc,160.0,105.0,160.0,105.0,5,20,1.0,0.8,llm-label
14,openai/gpt-oss-20b,openai/gpt-oss-20b,J,J,8,8,111,101,0,1,allc,allc,160.0,105.0,160.0,105.0,5,20,1.0,0.8,llm-label
15,openai/gpt-oss-20b,openai/gpt-oss-20b,J,J,8,8,119,109,1,0,allc,allc,160.0,105.0,160.0,105.0,5,20,1.0,0.8,llm-label
16,openai/gpt-oss-20b,openai/gpt-oss-20b,J,J,8,8,127,117,1,0,allc,allc,160.0,105.0,160.0,105.0,5,20,1.0,0.8,llm-label
17,openai/gpt-oss-20b,openai/gpt-oss-20b,J,J,8,8,135,125,1,0,allc,allc,160.0,105.0,160.0,105.0,5,20,1.0,0.8,llm-label
18,openai/gpt-oss-20b,openai/gpt-oss-20b,J,F,0,10,135,135,1,0,allc,alld,160.0,105.0,160.0,200.0,5,20,1.0,0.8,llm-label
19,openai/gpt-oss-20b,openai/gpt-oss-20b,J,J,8,8,143,143,0,1,allc,allc,160.0,152.8,152.0,100.0,5,20,1.0,0.8,llm-label
20,openai/gpt-oss-20b,openai/gpt-oss-20b,J,J,8,8,151,151,1,0,allc,allc,160.0,105.0,160.0,105.0,5,20,1.0,0.8,llm-label
21,openai/gpt-oss-20b,openai/gpt-oss-20b,J,J,8,8,159,159,0,1,allc,allc,160.0,105.0,160.0,105.0,5,20,1.0,0.8,llm-label
22,openai/gpt-oss-20b,openai/gpt-oss-20b,J,J,8,8,167,167,0,1,allc,allc,160.0,105.0,160.0,105.0,5,20,1.0,0.8,llm-label
23,openai/gpt-oss-20b,openai/gpt-oss-20b,F,J,10,0,177,167,1,0,alld,allc,160.0,200.0,160.0,105.0,5,20,1.0,0.8,llm-label
24,openai/gpt-oss-20b,openai/gpt-oss-20b,J,J,8,8,185,175,0,1,allc,allc,152.0,100.0,160.0,144.4,5,20,1.0,0.8,llm-label
25,openai/gpt-oss-20b,openai/gpt-oss-20b,J,J,8,8,193,183,0,1,allc,allc,160.0,105.0,160.0,105.0,5,20,1.0,0.8,llm-label
26,openai/gpt-oss-20b,openai/gpt-oss-20b,J,J,8,8,201,191,1,0,allc,allc,160.0,105.0,160.0,105.0,5,20,1.0,0.8,llm-label
27,openai/gpt-oss-20b,openai/gpt-oss-20b,J,J,8,8,209,199,0,1,allc,allc,160.0,105.0,160.0,105.0,5,20,1.0,0.8,llm-label
28,openai/gpt-oss-20b,openai/gpt-oss-20b,F,J,10,0,219,199,0,1,alld,allc,95.0,100.0,160.0,105.0,5,20,1.0,0.8,llm-label
29,openai/gpt-oss-20b,openai/gpt-oss-20b,J,F,0,10,219,209,0,1,allc,alld,152.0,100.0,0.0,100.0,5,20,1.0,0.8,llm-label
30,openai/gpt-oss-20b,openai/gpt-oss-20b,J,J,8,8,227,217,0,1,allc,allc,160.0,156.4,152.0,100.0,5,20,1.0,0.8,llm-label
31,openai/gpt-oss-20b,openai/gpt-oss-20b,F,J,10,0,237,217,0,1,alld,allc,95.0,100.0,160.0,105.0,5,20,1.0,0.8,llm-label
32,openai/gpt-oss-20b,openai/gpt-oss-20b,J,J,8,8,245,225,1,0,allc,allc,152.0,100.0,160.0,144.4,5,20,1.0,0.8,llm-label
33,openai/gpt-oss-20b,openai/gpt-oss-20b,F,J,10,0,255,225,1,0,alld,allc,95.0,100.0,160.0,105.0,5,20,1.0,0.8,llm-label
34,openai/gpt-oss-20b,openai/gpt-oss-20b,J,J,8,8,263,233,0,1,allc,allc,152.0,100.0,160.0,144.4,5,20,1.0,0.8,llm-label
35,openai/gpt-oss-20b,openai/gpt-oss-20b,J,J,8,8,271,241,0,1,allc,allc,160.0,105.0,160.0,105.0,5,20,1.0,0.8,llm-label
36,openai/gpt-oss-20b,openai/gpt-oss-20b,J,J,8,8,279,249,1,0,allc,allc,160.0,105.0,160.0,105.0,5,20,1.0,0.8,llm-label
37,openai/gpt-oss-20b,openai/gpt-oss-20b,J,J,8,8,287,257,1,0,allc,allc,160.0,105.0,160.0,105.0,5,20,1.0,0.8,llm-label
38,openai/gpt-oss-20b,openai/gpt-oss-20b,F,J,10,0,297,257,0,1,alld,allc,95.0,100.0,160.0,105.0,5,20,1.0,0.8,llm-label
39,openai/gpt-oss-20b,openai/gpt-oss-20b,J,J,8,8,305,265,1,0,allc,allc,152.0,100.0,160.0,146.8,5,20,1.0,0.8,llm-label
40,openai/gpt-oss-20b,openai/gpt-oss-20b,J,J,8,8,313,273,1,0,allc,allc,160.0,105.0,160.0,105.0,5,20,1.0,0.8,llm-label
41,openai/gpt-oss-20b,openai/gpt-oss-20b,J,J,8,8,321,281,1,0,allc,allc,160.0,105.0,160.0,105.0,5,20,1.0,0.8,llm-label
42,openai/gpt-oss-20b,openai/gpt-oss-20b,J,J,8,8,329,289,0,1,allc,allc,160.0,105.0,160.0,105.0,5,20,1.0,0.8,llm-label
43,openai/gpt-oss-20b,openai/gpt-oss-20b,J,J,8,8,337,297,1,0,allc,allc,160.0,105.0,160.0,105.0,5,20,1.0,0.8,llm-label
44,openai/gpt-oss-20b,openai/gpt-oss-20b,J,J,8,8,345,305,1,0,allc,allc,160.0,105.0,160.0,105.0,5,20,1.0,0.8,llm-label
45,openai/gpt-oss-20b,openai/gpt-oss-20b,F,J,10,0,355,305,0,1,alld,allc,95.0,100.0,160.0,105.0,5,20,1.0,0.8,llm-label
46,openai/gpt-oss-20b,openai/gpt-oss-20b,F,J,10,0,365,305,1,0,alld,allc,160.0,200.0,160.0,155.2,5,20,1.0,0.8,llm-label
47,openai/gpt-oss-20b,openai/gpt-oss-20b,J,J,8,8,373,313,0,1,allc,allc,152.0,100.0,160.0,145.6,5,20,1.0,0.8,llm-label
48,openai/gpt-oss-20b,openai/gpt-oss-20b,J,J,8,8,381,321,0,1,allc,allc,160.0,105.0,160.0,105.0,5,20,1.0,0.8,llm-label
49,openai/gpt-oss-20b,openai/gpt-oss-20b,J,J,8,8,389,329,1,0,allc,allc,160.0,105.0,160.0,105.0,5,20,1.0,0.8,llm-label
50,openai/gpt-oss-20b,openai/gpt-oss-20b,J,J,8,8,397,337,0,1,allc,allc,160.0,105.0,160.0,105.0,5,20,1.0,0.8,llm-label
51,openai/gpt-oss-20b,openai/gpt-oss-20b,J,J,8,8,405,345,0,1,allc,allc,160.0,105.0,160.0,105.0,5,20,1.0,0.8,llm-label
52,openai/gpt-oss-20b,openai/gpt-oss-20b,J,J,8,8,413,353,0,1,allc,allc,160.0,105.0,160.0,105.0,5,20,1.0,0.8,llm-label
53,openai/gpt-oss-20b,openai/gpt-oss-20b,J,J,8,8,421,361,1,0,allc,allc,160.0,105.0,160.0,105.0,5,20,1.0,0.8,llm-label
54,openai/gpt-oss-20b,openai/gpt-oss-20b,J,J,8,8,429,369,0,1,allc,allc,160.0,105.0,160.0,105.0,5,20,1.0,0.8,llm-label
55,openai/gpt-oss-20b,openai/gpt-oss-20b,J,J,8,8,437,377,1,0,allc,allc,160.0,105.0,160.0,105.0,5,20,1.0,0.8,llm-label
56,openai/gpt-oss-20b,openai/gpt-oss-20b,J,J,8,8,445,385,0,1,allc,allc,160.0,105.0,160.0,105.0,5,20,1.0,0.8,llm-label
57,openai/gpt-oss-20b,openai/gpt-oss-20b,J,J,8,8,453,393,1,0,allc,allc,160.0,105.0,160.0,105.0,5,20,1.0,0.8,llm-label
58,openai/gpt-oss-20b,openai/gpt-oss-20b,F,J,10,0,463,393,1,0,alld,allc,160.0,200.0,160.0,105.0,5,20,1.0,0.8,llm-label
59,openai/gpt-oss-20b,openai/gpt-oss-20b,J,J,8,8,471,401,0,1,allc,allc,152.0,100.0,160.0,144.4,5,20,1.0,0.8,llm-label
60,openai/gpt-oss-20b,openai/gpt-oss-20b,J,J,8,8,479,409,0,1,allc,allc,160.0,105.0,160.0,105.0,5,20,1.0,0.8,llm-label
61,openai/gpt-oss-20b,openai/gpt-oss-20b,J,J,8,8,487,417,0,1,allc,allc,160.0,105.0,160.0,105.0,5,20,1.0,0.8,llm-label
62,openai/gpt-oss-20b,openai/gpt-oss-20b,F,J,10,0,497,417,0,1,alld,allc,95.0,100.0,160.0,105.0,5,20,1.0,0.8,llm-label
63,openai/gpt-oss-20b,openai/gpt-oss-20b,J,J,8,8,505,425,0,1,allc,allc,152.0,100.0,160.0,127.6,5,20,1.0,0.8,llm-label
64,openai/gpt-oss-20b,openai/gpt-oss-20b,J,J,8,8,513,433,0,1,allc,allc,160.0,105.0,160.0,105.0,5,20,1.0,0.8,llm-label
