round,player1,player2,prediction1,prediction2,answer1,answer2,points1,points2,total1,total2
1,openai/gpt-oss-20b,openai/gpt-oss-20b,D,D,D,D,0,0,0,0
2,openai/gpt-oss-20b,openai/gpt-oss-20b,D,D,D,D,0,0,0,0
3,openai/gpt-oss-20b,openai/gpt-oss-20b,C,C,C,C,3,3,3,3
4,openai/gpt-oss-20b,openai/gpt-oss-20b,C,C,C,C,3,3,6,6
5,openai/gpt-oss-20b,openai/gpt-oss-20b,C,C,C,C,3,3,9,9
6,openai/gpt-oss-20b,openai/gpt-oss-20b,C,C,C,C,3,3,12,12
7,openai/gpt-oss-20b,openai/gpt-oss-20b,C,C,C,C,3,3,15,15
8,openai/gpt-oss-20b,openai/gpt-oss-20b,C,C,C,C,3,3,18,18
9,openai/gpt-oss-20b,openai/gpt-oss-20b,C,C,C,C,3,3,21,21
10,openai/gpt-oss-20b,openai/gpt-oss-20b,C,C,C,C,3,3,24,24
11,openai/gpt-oss-20b,openai/gpt-oss-20b,C,C,C,C,3,3,27,27
12,openai/gpt-oss-20b,openai/gpt-oss-20b,C,C,C,C,3,3,30,30
13,openai/gpt-oss-20b,openai/gpt-oss-20b,C,C,C,C,3,3,33,33
14,openai/gpt-oss-20b,openai/gpt-oss-20b,C,C,C,C,3,3,36,36
15,openai/gpt-oss-20b,openai/gpt-oss-20b,C,C,C,C,3,3,39,39
16,openai/gpt-oss-20b,openai/gpt-oss-20b,C,C,C,C,3,3,42,42
17,openai/gpt-oss-20b,openai/gpt-oss-20b,C,C,C,C,3,3,45,45
18,openai/gpt-oss-20b,openai/gpt-oss-20b,D,D,D,D,0,0,45,45
19,openai/gpt-oss-20b,openai/gpt-oss-20b,D,D,D,D,0,0,45,45
20,openai/gpt-oss-20b,openai/gpt-oss-20b,D,D,D,D,0,0,45,45
21,openai/gpt-oss-20b,openai/gpt-oss-20b,D,D,D,D,0,0,45,45
22,openai/gpt-oss-20b,openai/gpt-oss-20b,D,D,D,D,0,0,45,45
23,openai/gpt-oss-20b,openai/gpt-oss-20b,D,D,D,D,0,0,45,45
24,openai/gpt-oss-20b,openai/gpt-oss-20b,D,D,D,D,0,0,45,45
25,openai/gpt-oss-20b,openai/gpt-oss-20b,D,D,D,D,0,0,45,45
26,openai/gpt-oss-20b,openai/gpt-oss-20b,D,D,D,D,0,0,45,45
27,openai/gpt-oss-20b,openai/gpt-oss-20b,C,C,C,C,3,3,48,48
28,openai/gpt-oss-20b,openai/gpt-oss-20b,C,C,C,C,3,3,51,51
29,openai/gpt-oss-20b,openai/gpt-oss-20b,D,D,D,D,0,0,51,51
30,openai/gpt-oss-20b,openai/gpt-oss-20b,D,D,D,D,0,0,51,51
31,openai/gpt-oss-20b,openai/gpt-oss-20b,D,D,D,D,0,0,51,51
32,openai/gpt-oss-20b,openai/gpt-oss-20b,D,D,D,D,0,0,51,51
33,openai/gpt-oss-20b,openai/gpt-oss-20b,D,D,D,D,0,0,51,51
34,openai/gpt-oss-20b,openai/gpt-oss-20b,D,D,D,D,0,0,51,51
35,openai/gpt-oss-20b,openai/gpt-oss-20b,D,D,D,D,0,0,51,51
36,openai/gpt-oss-20b,openai/gpt-oss-20b,D,D,D,D,0,0,51,51
37,openai/gpt-oss-20b,openai/gpt-oss-20b,D,D,D,D,0,0,51,51
38,openai/gpt-oss-20b,openai/gpt-oss-20b,D,D,D,D,0,0,51,51
39,openai/gpt-oss-20b,openai/gpt-oss-20b,D,D,D,D,0,0,51,51
40,openai/gpt-oss-20b,openai/gpt-oss-20b,D,D,D,D,0,0,51,51
41,openai/gpt-oss-20b,openai/gpt-oss-20b,D,D,D,D,0,0,51,51
42,openai/gpt-oss-20b,openai/gpt-oss-20b,D,D,D,D,0,0,51,51
43,openai/gpt-oss-20b,openai/gpt-oss-20b,D,D,D,D,0,0,51,51
44,openai/gpt-oss-20b,openai/gpt-oss-20b,D,D,D,D,0,0,51,51
45,openai/gpt-oss-20b,openai/gpt-oss-20b,D,D,D,D,0,0,51,51
46,openai/gpt-oss-20b,openai/gpt-oss-20b,D,D,D,D,0,0,51,51
47,openai/gpt-oss-20b,openai/gpt-oss-20b,D,D,D,D,0,0,51,51
48,openai/gpt-oss-20b,openai/gpt-oss-20b,D,D,D,D,0,0,51,51
49,openai/gpt-oss-20b,openai/gpt-oss-20b,D,D,D,D,0,0,51,51
50,openai/gpt-oss-20b,openai/gpt-oss-20b,D,D,D,D,0,0,51,51
