round,player1,player2,answer1,answer2,points1,points2,total1,total2,psbr_strategy_p1,psbr_strategy_p2,psbr_value_c_p1,psbr_value_d_p1,psbr_value_c_p2,psbr_value_d_p2,psbr_samples,psbr_horizon,psbr_discount,psbr_sample_temperature,psbr_strategy_inference
1,openai/gpt-oss-20b,openai/gpt-oss-20b,D,D,0,0,0,0,allc,allc,60.0,58.0,60.0,58.0,5,20,1.0,0.8,llm-label
2,openai/gpt-oss-20b,openai/gpt-oss-20b,C,C,3,3,3,3,allc,allc,40.0,14.4,60.0,59.2,5,20,1.0,0.8,llm-label
3,openai/gpt-oss-20b,openai/gpt-oss-20b,C,C,3,3,6,6,allc,allc,60.0,1.0,40.0,0.0,5,20,1.0,0.8,llm-label
4,openai/gpt-oss-20b,openai/gpt-oss-20b,C,C,3,3,9,9,allc,allc,60.0,1.0,60.0,1.0,5,20,1.0,0.8,llm-label
5,openai/gpt-oss-20b,openai/gpt-oss-20b,C,C,3,3,12,12,allc,allc,60.0,1.0,40.0,0.0,5,20,1.0,0.8,llm-label
6,openai/gpt-oss-20b,openai/gpt-oss-20b,C,C,3,3,15,15,allc,allc,60.0,1.0,60.0,1.0,5,20,1.0,0.8,llm-label
7,openai/gpt-oss-20b,openai/gpt-oss-20b,C,C,3,3,18,18,allc,allc,60.0,1.0,60.0,1.0,5,20,1.0,0.8,llm-label
8,openai/gpt-oss-20b,openai/gpt-oss-20b,C,C,3,3,21,21,allc,allc,60.0,20.0,60.0,1.0,5,20,1.0,0.8,llm-label
9,openai/gpt-oss-20b,openai/gpt-oss-20b,C,C,3,3,24,24,allc,allc,40.0,0.0,40.0,0.0,5,20,1.0,0.8,llm-label
10,openai/gpt-oss-20b,openai/gpt-oss-20b,C,C,3,3,27,27,allc,allc,60.0,1.0,60.0,1.0,5,20,1.0,0.8,llm-label
11,openai/gpt-oss-20b,openai/gpt-oss-20b,C,C,3,3,30,30,allc,allc,60.0,20.0,60.0,1.0,5,20,1.0,0.8,llm-label
12,openai/gpt-oss-20b,openai/gpt-oss-20b,C,C,3,3,33,33,allc,allc,60.0,1.0,60.0,1.0,5,20,1.0,0.8,llm-label
13,openai/gpt-oss-20b,openai/gpt-oss-20b,C,C,3,3,36,36,allc,allc,60.0,20.0,60.0,20.0,5,20,1.0,0.8,llm-label
14,openai/gpt-oss-20b,openai/gpt-oss-20b,C,C,3,3,39,39,allc,allc,60.0,20.0,60.0,1.0,5,20,1.0,0.8,llm-label
15,openai/gpt-oss-20b,openai/gpt-oss-20b,C,C,3,3,42,42,allc,allc,60.0,20.0,60.0,1.0,5,20,1.0,0.8,llm-label
16,openai/gpt-oss-20b,openai/gpt-oss-20b,C,C,3,3,45,45,allc,allc,60.0,20.0,60.0,20.0,5,20,1.0,0.8,llm-label
17,openai/gpt-oss-20b,openai/gpt-oss-20b,C,C,3,3,48,48,allc,allc,60.0,20.0,60.0,20.0,5,20,1.0,0.8,llm-label
18,openai/gpt-oss-20b,openai/gpt-oss-20b,C,C,3,3,51,51,allc,allc,60.0,20.0,60.0,20.0,5,20,1.0,0.8,llm-label
19,openai/gpt-oss-20b,openai/gpt-oss-20b,C,C,3,3,54,54,allc,allc,60.0,20.0,60.0,20.0,5,20,1.0,0.8,llm-label
20,openai/gpt-oss-20b,openai/gpt-oss-20b,C,C,3,3,57,57,allc,allc,60.0,20.0,60.0,20.0,5,20,1.0,0.8,llm-label
21,openai/gpt-oss-20b,openai/gpt-oss-20b,C,C,3,3,60,60,allc,allc,60.0,20.0,60.0,20.0,5,20,1.0,0.8,llm-label
22,openai/gpt-oss-20b,openai/gpt-oss-20b,C,C,3,3,63,63,allc,allc,60.0,20.0,60.0,20.0,5,20,1.0,0.8,llm-label
23,openai/gpt-oss-20b,openai/gpt-oss-20b,C,C,3,3,66,66,allc,allc,60.0,20.0,60.0,20.0,5,20,1.0,0.8,llm-label
24,openai/gpt-oss-20b,openai/gpt-oss-20b,C,C,3,3,69,69,allc,allc,60.0,20.0,60.0,20.0,5,20,1.0,0.8,llm-label
25,openai/gpt-oss-20b,openai/gpt-oss-20b,C,C,3,3,72,72,allc,allc,60.0,20.0,60.0,20.0,5,20,1.0,0.8,llm-label
26,openai/gpt-oss-20b,openai/gpt-oss-20b,C,C,3,3,75,75,allc,allc,60.0,20.0,60.0,20.0,5,20,1.0,0.8,llm-label
27,openai/gpt-oss-20b,openai/gpt-oss-20b,C,C,3,3,78,78,allc,allc,60.0,20.0,60.0,20.0,5,20,1.0,0.8,llm-label
28,openai/gpt-oss-20b,openai/gpt-oss-20b,C,C,3,3,81,81,allc,allc,60.0,20.0,60.0,20.0,5,20,1.0,0.8,llm-label
29,openai/gpt-oss-20b,openai/gpt-oss-20b,C,C,3,3,84,84,allc,allc,60.0,20.0,60.0,20.0,5,20,1.0,0.8,llm-label
30,openai/gpt-oss-20b,openai/gpt-oss-20b,C,C,3,3,87,87,allc,allc,60.0,20.0,60.0,1.0,5,20,1.0,0.8,llm-label
31,openai/gpt-oss-20b,openai/gpt-oss-20b,C,C,3,3,90,90,allc,allc,60.0,20.0,60.0,20.0,5,20,1.0,0.8,llm-label
32,openai/gpt-oss-20b,openai/gpt-oss-20b,C,C,3,3,93,93,allc,allc,57.0,19.0,57.0,19.0,5,20,1.0,0.8,llm-label
33,openai/gpt-oss-20b,openai/gpt-oss-20b,C,C,3,3,96,96,allc,allc,54.0,18.0,54.0,18.0,5,20,1.0,0.8,llm-label
34,openai/gpt-oss-20b,openai/gpt-oss-20b,C,C,3,3,99,99,allc,allc,51.0,17.0,51.0,17.0,5,20,1.0,0.8,llm-label
35,openai/gpt-oss-20b,openai/gpt-oss-20b,C,C,3,3,102,102,allc,allc,48.0,16.0,48.0,16.0,5,20,1.0,0.8,llm-label
36,openai/gpt-oss-20b,openai/gpt-oss-20b,C,C,3,3,105,105,allc,allc,45.0,15.0,45.0,15.0,5,20,1.0,0.8,llm-label
37,openai/gpt-oss-20b,openai/gpt-oss-20b,C,C,3,3,108,108,allc,allc,42.0,14.0,42.0,14.0,5,20,1.0,0.8,llm-label
38,openai/gpt-oss-20b,openai/gpt-oss-20b,C,C,3,3,111,111,allc,allc,39.0,13.0,39.0,13.0,5,20,1.0,0.8,llm-label
39,openai/gpt-oss-20b,openai/gpt-oss-20b,C,C,3,3,114,114,allc,allc,36.0,12.0,36.0,12.0,5,20,1.0,0.8,llm-label
40,openai/gpt-oss-20b,openai/gpt-oss-20b,C,C,3,3,117,117,allc,allc,33.0,11.0,33.0,11.0,5,20,1.0,0.8,llm-label
41,openai/gpt-oss-20b,openai/gpt-oss-20b,C,C,3,3,120,120,allc,allc,30.0,10.0,30.0,10.0,5,20,1.0,0.8,llm-label
42,openai/gpt-oss-20b,openai/gpt-oss-20b,C,C,3,3,123,123,allc,allc,27.0,9.0,27.0,9.0,5,20,1.0,0.8,llm-label
43,openai/gpt-oss-20b,openai/gpt-oss-20b,C,C,3,3,126,126,allc,allc,24.0,8.0,24.0,8.0,5,20,1.0,0.8,llm-label
44,openai/gpt-oss-20b,openai/gpt-oss-20b,C,C,3,3,129,129,allc,allc,21.0,7.0,21.0,7.0,5,20,1.0,0.8,llm-label
45,openai/gpt-oss-20b,openai/gpt-oss-20b,C,C,3,3,132,132,allc,allc,18.0,6.0,18.0,6.0,5,20,1.0,0.8,llm-label
46,openai/gpt-oss-20b,openai/gpt-oss-20b,C,C,3,3,135,135,allc,allc,15.0,5.0,15.0,5.0,5,20,1.0,0.8,llm-label
47,openai/gpt-oss-20b,openai/gpt-oss-20b,C,C,3,3,138,138,allc,allc,12.0,4.0,12.0,4.0,5,20,1.0,0.8,llm-label
48,openai/gpt-oss-20b,openai/gpt-oss-20b,C,C,3,3,141,141,allc,allc,9.0,3.0,9.0,3.0,5,20,1.0,0.8,llm-label
49,openai/gpt-oss-20b,openai/gpt-oss-20b,C,C,3,3,144,144,allc,allc,6.0,2.0,6.0,2.0,5,20,1.0,0.8,llm-label
50,openai/gpt-oss-20b,openai/gpt-oss-20b,C,C,3,3,147,147,allc,allc,3.0,1.0,3.0,1.0,5,20,1.0,0.8,llm-label
